Run ID,Run Label,Display Name,Model Display,Prompt Label,Persona ID,Session ID,Truth Label,Predicted Label,Correct Match,Truth Is Eligible,Truth Is Ineligible,Truth Is Manual Review,Truth Is Insufficient Information,Predicted Is Eligible,Predicted Is Ineligible,Predicted Is Manual Review,Predicted Is Insufficient Information,Error
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F001,eval_F001_14759a6e,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F002,eval_F002_8a4cfdde,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F003,eval_F003_7923f9cd,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F004,eval_F004_43073169,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F005,eval_F005_75d38d9b,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F006,eval_F006_d827dbfc,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F007,eval_F007_d6352f0e,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F008,eval_F008_0a603fdf,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F009,eval_F009_cadaf957,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F010,eval_F010_3889db6a,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F011,eval_F011_e7e9a004,Ineligible,Insufficient Information,False,0,1,0,0,0,0,0,1,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F012,eval_F012_f35a4852,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
benchmark_openai_v1,openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,OpenAI (angel-flight-chatbot-app),System Prompt v1,F013,eval_F013_69a0460c,Ineligible,Ineligible,True,0,1,0,0,0,1,0,0,
